Show Number, Air Date, Round, Category, Value, Question, Answer, Frequency
5084,19/10/2006,Double Jeopardy!,14:59,$400,This government employee was in the spotlight in the late 1990s for her conduct as a girlfriend of Monica Lewinsky,Linda Tripp,3
5084,19/10/2006,Double Jeopardy!,14:59,$800,"Before her 15 minutes expired, this gal who got mixed up with televangelist Jim Bakker got onto Playboy's cover",Jessica Hahn,3
5084,19/10/2006,Double Jeopardy!,14:59,$1200,"""The joke's over"", said Simon Cowell about this ""American Idol"" singer with a unique rendition of ""She Bangs""",William Hung,3
3688,20/09/2000,Jeopardy!,2,$100,"Opera & field glasses are classified as these, a pair of telescopes mounted on a single frame",Binoculars,10
3688,20/09/2000,Jeopardy!,2,$200,In 1997 this TV show with 2 2s in its title went to 2 nights a week,20/20,10
3688,20/09/2000,Jeopardy!,2,$300,The last time there were 2 of these at the same time was 1449 with Felix V & Nicholas V,Popes,10
3688,20/09/2000,Jeopardy!,2,$400,"In ""The 12 Days of Christmas"", it's the gift there are 2 of",Turtledoves,10
3688,20/09/2000,Jeopardy!,2,$500,"The constellation Bootes contains at least 3 of these, or at least 6 little twinklers total",Double/binary stars,10
5341,26/11/2007,Double Jeopardy!,2,$400,2 cubed equals this,8,10
5341,26/11/2007,Double Jeopardy!,2,$800,"Stoplights are a problem if you've got protanopia, the inability to distinguish these 2 colors",red and green,10
5341,26/11/2007,Double Jeopardy!,2,$1200,The 2 books in the Old Testament with this man's name immediately precede the 2 books of Kings,Samuel,10
5341,26/11/2007,Double Jeopardy!,2,"$3,000",It's the only planet in the Solar System with exactly 2 moons,Mars,10
5341,26/11/2007,Double Jeopardy!,2,$2000,"Using 2 flags of 2 colors each, the U.S. Navy sends short-range messages by this system",semaphore,10
6175,17/06/2011,Jeopardy!,3,$200,"The 3-teired crown of this personage stands for spiritual power, temporal power & ecclesiastical power",the pope,5
6175,17/06/2011,Jeopardy!,3,$400,"Ned Nederlander, Dusty Bottoms & Lucky Day go up against El Guapo in this 1986 movie",The Three Amigos,5
6175,17/06/2011,Jeopardy!,3,$600,This secretary in Ronald Reagan's cabinet shares his name with one of the 3 men in a tub,(James) Baker,5
6175,17/06/2011,Jeopardy!,3,$800,"The 3 main classifications of these are active, dormant & extinct",volcanoes,5
6175,17/06/2011,Jeopardy!,3,$1000,"The 3 orders of these monks are the Friars Minor, the Poor Clares & the Brothers & Sisters of Penance",the Franciscans,5
4580,02/07/2004,Jeopardy!,4,$200,"""Seasonal"" quartet in the lyrics of ""You've Got A Friend""","winter, spring, summer & fall",3
4580,02/07/2004,Jeopardy!,4,$400,"Dressy term for hearts, spades, diamonds or clubs",a suit,3
4580,02/07/2004,Jeopardy!,4,$800,"To complete a foursome, mathematician Herman Minkowski added this to length, width & height",time,3
2050,02/07/1993,Jeopardy!,6,$100,"Seraphim have 6 of them: 2 to cover their faces, 2 to cover their feet & 2 to fly with",wings,5
2050,02/07/1993,Jeopardy!,6,$200,"It broke out June 5, 1967",the Six-Day War,5
2050,02/07/1993,Jeopardy!,6,$300,"The 6th letter of the Greek alphabet, it corresponds to our 26th",zeta,5
2050,02/07/1993,Jeopardy!,6,$400,Among the 6 counties that make up this country are Londonderry & Down,Northern Ireland,5
2050,02/07/1993,Jeopardy!,6,$500,This holiday is the 6th Sunday in Lent,Palm Sunday,5
3031,03/11/1997,Double Jeopardy!,7,$200,Tradition says this city was founded in 753 B.C. on one of a group of 7 hills,Rome,5
3031,03/11/1997,Double Jeopardy!,7,$400,"In the Romanian language, this group includes Duminica, Luni & Vineri",days of the week,5
3031,03/11/1997,Double Jeopardy!,7,$600,Shivah in this religion is a 7-day period of mourning,Judaism,5
3031,03/11/1997,Double Jeopardy!,7,$800,"Lust, sloth & gluttony are 3 of the 7 of these",the 7 deadly sins,5
3031,03/11/1997,Double Jeopardy!,7,$1000,"Bryn Mawr, Vassar & Barnard are among this scholarly septet",Seven Sisters,5
3721,06/11/2000,Double Jeopardy!,10,$200,"She showed some ""Basic Instinct"" & became a mom in 2000",Sharon Stone,5
3721,06/11/2000,Double Jeopardy!,10,$400,"""Perfect Storm"" star Diane Lane's mother posed for the October 1957 issue of this magazine",Playboy,5
3721,06/11/2000,Double Jeopardy!,10,$600,"As Hugh Grant's date, she made news at the ""Four Weddings and a Funeral"" premiere in a safety-pinned Versace",Elizabeth Hurley,5
3721,06/11/2000,Double Jeopardy!,10,$800,"This ""X-Men"" star previously charmed Warren Beatty in ""Bulworth""",Halle Berry,5
3721,06/11/2000,Double Jeopardy!,10,$1000,This teenage tennis goddess is often escorted by older Russian hockey players,Anna Kournikova,5
3263,11/11/1998,Jeopardy!,13,$100,"The 13 people at his final dinner included James, Andrew, John & Judas",Jesus,5
3263,11/11/1998,Jeopardy!,13,$200,The TV cops of New York's 13th precinct included this Greek-American title lieutenant,Kojak,5
3263,11/11/1998,Jeopardy!,13,$300,It's the term for a spellbound assembly of 13 witches,Coven,5
3263,11/11/1998,Jeopardy!,13,$400,"Prepared by Maimonides, the ""13 Articles of Faith"" is a summary of the basic tenets of this religion",Judaism,5
3263,11/11/1998,Jeopardy!,13,$500,"The unluckiness of Friday the 13th may date from the suppression of this order of knights on Fri., Oct. 13, 1307",Knights Templar,5
3677,05/09/2000,Jeopardy!,17,$100,This bishop who died in 460 A.D. is celebrated on March 17,Saint Patrick,5
